nome_fundo;tipo_fundo;aplicacao_min;taxa_adm;cot_resgate;liq_resgate;taxa_risco;rent_12_meses;rent_24_meses;rent_36_meses;data_inicio;benchmark;taxa_performance;link
Hashdex 40 Nasdaq Crypto Index F... ;Internacional;10000;1.00;"D+5

(Dias Corridos)";"D+2

(Dias Úteis)";49;31.77;177.98;N/D;12/12/2019;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_35088108000162_v55.pdf
Trend High Yield Americano FIM ;Internacional;100;0.50;"D+5

(Dias Corridos)";"D+1

(Dias Úteis)";26;1.73;N/D;N/D;17/08/2020;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_37396932000105_v28.pdf
Sharp Long Short FIM ;Multimercado;50000;2.00;"D+15

(Dias Corridos)";"D+1

(Dias Úteis)";6;3.77;14.50;22.69;26/04/2005;CDI;25.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_07279819000189_v143.pdf
Trend Bitcoin Dólar FIC FIM ;Internacional;100;0.50;"D+0

(Dias Úteis)";"D+2

(Dias Úteis)";79;N/D;N/D;N/D;01/10/2021;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Regulamento/Regulamento_43105361000105.pdf
Brave III High Grade FIC FIM CP ;Multimercado;1000;0.90;"D+30

(Dias Corridos)";"D+1

(Dias Úteis)";6;N/D;N/D;N/D;23/04/2021;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_41196241000135_v17.pdf
"AXA Clean Economy Advisory FIC F... 
ESG";Internacional;500;0.80;"D+1

(Dias Úteis)";"D+5

(Dias Úteis)";31;N/D;N/D;N/D;14/10/2021;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Regulamento/Regulamento_42291928000112.pdf
Morgan Stanley US Advantage Dola... ;Internacional;500;0.70;"D+1

(Dias Úteis)";"D+5

(Dias Úteis)";26;-8.93;N/D;N/D;31/08/2020;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_37489281000106_v32.pdf
Occam Long Biased Advisory FIC F... ;Renda Variável;500;2.00;"D+30

(Dias Corridos)";"D+2

(Dias Úteis)";15;-13.65;N/D;N/D;05/03/2020;IPCA+6%a.a.;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Regulamento/Regulamento_35714550000157.pdf
Plural High Grade FIRF CP ;Renda Fixa Pós-Fixado;3000;0.25;"D+1

(Dias Úteis)";"D+0

(Dias Úteis)";6;5.22;6.17;12.14;29/05/2012;CDI;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_15350679000116_v118.pdf
Journey Capital Endurance Plus A... ;Renda Fixa Pós-Fixado;500;0.80;"D+59

(Dias Corridos)";"D+1

(Dias Úteis)";8;5.70;12.04;N/D;19/06/2019;CDI;15.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_33150386000177_v68.pdf
Quasar Advantage FIRF CP LP ;Renda Fixa Pós-Fixado;500;0.40;"D+0

(Dias Úteis)";"D+1

(Dias Úteis)";6;6.68;6.05;11.57;22/03/2018;CDI;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_29206196000157_v131.pdf
Alfa Polaris FIRF CP ;Renda Fixa Pós-Fixado;1000;0.60;"D+30

(Dias Corridos)";"D+1

(Dias Úteis)";6;7.01;10.34;N/D;25/07/2019;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_30056825000199_v5.pdf
NW3 Event Driven Plus FIC FIM ;Internacional;10000;2.00;"D+30

(Dias Corridos)";"D+1

(Dias Úteis)";26;6.50;1.44;12.74;14/12/2016;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_26396708000105_v2.pdf
Capitânia Reit 90 Advisory CP FI... ;Multimercado;500;1.00;"D+89

(Dias Corridos)";"D+1

(Dias Úteis)";18;N/D;N/D;N/D;09/07/2021;-;15.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_37108174000182_v15.pdf
BTG Pactual Explorer FIM ;Multimercado;5000;1.25;"D+4

(Dias Úteis)";"D+1

(Dias Úteis)";6;5.13;8.13;14.75;01/06/2010;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_11952873000110_v147.pdf
Morgan Stanley Emerging Leaders... ;Internacional;500;0.80;"D+1

(Dias Úteis)";"D+6

(Dias Úteis)";26;N/D;N/D;N/D;28/01/2021;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_39466946000183_v28.pdf
Panamby Inno FIC FIM ;Multimercado;5000;1.90;"D+30

(Dias Corridos)";"D+1

(Dias Úteis)";26;-2.04;4.48;N/D;04/12/2019;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_34799112000176_v41.pdf
Porto Seguro Macro FIC FIM ;Multimercado;5000;1.50;"D+5

(Dias Corridos)";"D+1

(Dias Úteis)";10;2.33;12.56;22.29;30/12/1996;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_00400490000113_v174.pdf
Vinland Renda Fixa Ativo Advisor... ;Multimercado;1000;0.80;"D+0

(Dias Úteis)";"D+1

(Dias Úteis)";6;N/D;N/D;N/D;09/08/2021;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Regulamento/Regulamento_34687441000125.pdf
Votorantim FI Eagle Renda Fixa L... ;Renda Fixa Pós-Fixado;1000;0.50;"D+0

(Dias Úteis)";"D+1

(Dias Úteis)";6;4.79;7.10;13.75;16/10/1995;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_00836263000135_v162.pdf
Trend Cripto Dólar FIC FIM ;Internacional;100;0.50;"D+0

(Dias Úteis)";"D+2

(Dias Úteis)";51;N/D;N/D;N/D;01/10/2021;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Regulamento/Regulamento_43105341000134.pdf
Novus Institucional FIC FIM ;Multimercado;1000;0.90;"D+0

(Dias Úteis)";"D+1

(Dias Úteis)";6;2.45;6.91;14.11;18/11/2004;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_06301947000119_v171.pdf
SulAmérica Debêntures Incentivad... ;Renda Fixa Pós-Fixado;1000;0.80;"D+45

(Dias Corridos)";"D+1

(Dias Úteis)";10;10.52;13.16;N/D;08/08/2019;CDI;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_33701795000114_v83.pdf
Novus Macro FIC FIM ;Multimercado;5000;1.90;"D+30

(Dias Corridos)";"D+1

(Dias Úteis)";26;-5.07;0.27;9.20;24/01/2012;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_14146726000141_v158.pdf
"AXA Clean Economy Dólar Advisory... 
ESG";Internacional;500;0.80;"D+1

(Dias Úteis)";"D+5

(Dias Úteis)";26;N/D;N/D;N/D;14/10/2021;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Regulamento/Regulamento_40951903000172.pdf
Miles Singular Global Tech II US... ;Renda Variável;1000;1.40;"D+4

(Dias Úteis)";"D+3

(Dias Úteis)";26;N/D;N/D;N/D;29/01/2021;S&P 500;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_38444096000150_v20.pdf
AXA WF US High Yield Bonds Advis... ;Internacional;500;0.60;"D+1

(Dias Corridos)";"D+5

(Dias Úteis)";15;6.03;13.47;N/D;23/12/2019;CDI;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_35142453000137_v59.pdf
Pictet TR Atlas Titan Advisory F... ;Internacional;500;0.70;"D+2

(Dias Úteis)";"D+5

(Dias Úteis)";26;N/D;N/D;N/D;15/10/2021;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Regulamento/Regulamento_43105489000179.pdf
Studio 30 FIC FIA ;Renda Variável;5000;1.85;"D+30

(Dias Corridos)";"D+2

(Dias Úteis)";37;-22.34;-20.77;10.52;05/03/2013;IMA_GERAL;15.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_17301119000105_v168.pdf
Trend Ibovespa FIA ;Renda Variável;100;0.30;"D+0

(Dias Úteis)";"D+2

(Dias Úteis)";37;-16.42;-12.58;10.75;19/09/2018;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_31204199000101_v136.pdf
Itaú Hedge Plus Advisory FIC FIM ;Multimercado;500;2.00;"D+60

(Dias Corridos)";"D+1

(Dias Úteis)";26;N/D;N/D;N/D;07/04/2021;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_41055241000115_v4.pdf
Asa Hedge FIC FIM ;Multimercado;10000;1.90;"D+30

(Dias Corridos)";"D+1

(Dias Corridos)";26;8.14;20.37;29.07;01/09/2014;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_20458815000126_v26.pdf
Icatu Vanguarda FIC FI Inflação... ;Renda Fixa Pré-Fixado/Inflação;5000;0.50;"D+0

(Dias Úteis)";"D+1

(Dias Úteis)";6;3.26;10.36;23.51;02/12/2010;IMA_B 5;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_12682783000110_v162.pdf
AZ Quest Debentures Incentivadas... ;Renda Fixa Pré-Fixado/Inflação;1000;1.10;"D+29

(Dias Corridos)";"D+1

(Dias Úteis)";10;7.48;13.85;26.28;06/09/2016;IMA_B 5;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_25213405000139_v70.pdf
Wellington Ventura 30 Dolar Advi... ;Internacional;500;0.80;"D+30

(Dias Corridos)";"D+5

(Dias Úteis)";26;14.91;N/D;N/D;28/10/2020;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_38597203000180_v33.pdf
XP Investor Ibovespa Ativo FIC F... ;Renda Variável;500;1.50;"D+1

(Dias Corridos)";"D+2

(Dias Úteis)";41;-20.13;-20.70;9.28;02/10/2017;IBOV;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_28122142000140_v162.pdf
Real Investor FIC FIA BDR Nível... ;Renda Variável;5000;1.85;"D+27

(Dias Corridos)";"D+2

(Dias Úteis)";38;-9.87;-9.01;44.61;29/02/2012;IBOV;15.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_10500884000105_v130.pdf
Quasar Direct Lending Advisory F... ;Alternativo;25000;1.50;;;15;N/D;N/D;N/D;30/06/2021;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_41969370000119_v10.pdf
SulAmérica Infra Fundo Incentiva... ;Renda Fixa Pré-Fixado/Inflação;1000;0.80;"D+45

(Dias Corridos)";"D+1

(Dias Úteis)";10;5.85;14.23;26.39;10/05/2017;IMA_B 5;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_22759995000101_v79.pdf
JGP Strategy Advisory FIC FIM ;Multimercado;20000;1.85;"D+30

(Dias Corridos)";"D+1

(Dias Úteis)";26;1.94;10.17;N/D;11/02/2019;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_30190210000150_v82.pdf
"Wellington US BDR Advisory Dólar... 
ESG";Internacional;100;1.00;"D+1

(Dias Úteis)";"D+3

(Dias Úteis)";26;N/D;N/D;N/D;30/07/2021;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_42101922000135_v4.pdf
Morgan Stanley Global BDR Adviso... ;Internacional;100;1.00;"D+1

(Dias Úteis)";"D+3

(Dias Úteis)";26;N/D;N/D;N/D;31/08/2021;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Regulamento/Regulamento_42280143000144.pdf
AZ Quest Altro Advisory FIC FIM... ;Renda Fixa Pós-Fixado;500;0.80;"D+44

(Dias Corridos)";"D+1

(Dias Úteis)";6;7.78;9.82;N/D;25/09/2019;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_34370777000160_v55.pdf
Porto Seguro Juro Real FIC RF LP ;Renda Fixa Pré-Fixado/Inflação;5000;0.50;"D+0

(Dias Úteis)";"D+1

(Dias Úteis)";10;-2.95;3.65;24.68;17/04/2014;IMA_B;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_21625026000103_v151.pdf
FIC de FI Votorantim Inflation R... ;Renda Fixa Pré-Fixado/Inflação;5000;0.35;"D+0

(Dias Úteis)";"D+1

(Dias Úteis)";5;3.43;10.86;24.49;17/07/2008;IMA_B 5;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_09344799000108_v155.pdf
Iridium Titan Advisory FIC FI RF... ;Renda Fixa Pós-Fixado;500;0.60;"D+30

(Dias Corridos)";"D+1

(Dias Úteis)";6;6.93;10.02;N/D;06/05/2019;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_32756812000158_v90.pdf
Brasil Plural Crédito Corporativ... ;Renda Fixa Pós-Fixado;3000;0.50;"D+30

(Dias Corridos)";"D+1

(Dias Úteis)";6;6.58;5.21;11.23;20/08/2013;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_18316558000146_v132.pdf
Pandhora Essencial FIC FIM ;Multimercado;500;1.40;"D+3

(Dias Úteis)";"D+1

(Dias Úteis)";8;2.02;7.14;19.32;07/06/2016;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_24140265000153_v15.pdf
Empirica Lotus FIC FIM CP ;Renda Fixa Pós-Fixado;25000;0.80;"D+90

(Dias Corridos)";"D+1

(Dias Úteis)";8;6.86;11.74;21.03;31/10/2013;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_17251743000137_v75.pdf
Giant Hanabi Advisory FIC FIA ;Renda Variável;500;1.50;"D+30

(Dias Corridos)";"D+3

(Dias Úteis)";26;N/D;N/D;N/D;15/09/2021;IBOV;25.00;https://institucional.xpi.com.br/downloads/xpgestao/Regulamento/Regulamento_41888252000186.pdf
"JGP ESG Institucional Advisory F... 
ESG";Renda Variável;20000;1.85;"D+30

(Dias Corridos)";"D+2

(Dias Úteis)";26;-19.27;N/D;N/D;31/07/2020;IBOVESPA;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_36352690000195_v24.pdf
NEO ARGO LS ADV FIC FIM ;Multimercado;1000;1.90;"D+30

(Dias Corridos)";"D+1

(Dias Úteis)";8;8.68;13.14;N/D;04/02/2019;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_32236875000183_v83.pdf
XP Macro FIM ;Multimercado;10000;2.00;"D+30

(Dias Corridos)";"D+1

(Dias Úteis)";12;6.32;10.79;20.17;24/03/2016;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_23922063000109_v191.pdf
Ashmore EM Equity Dolar Advisory... ;Internacional;500;0.80;"D+1

(Dias Úteis)";"D+5

(Dias Úteis)";26;-5.75;N/D;N/D;21/08/2020;CDI;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_36554687000154_v40.pdf
MAG inflação referenciado IMA-B... ;Renda Fixa Pré-Fixado/Inflação;1000;0.50;"D+2

(Dias Úteis)";"D+1

(Dias Úteis)";10;-2.27;3.69;24.84;23/12/2011;IMA_B;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_14115118000170_v15.pdf
Bahia AM Valuation FIC FIA ;Renda Variável;1000;1.90;"D+30

(Dias Corridos)";"D+2

(Dias Úteis)";38;-24.81;-20.30;3.03;26/07/2010;IBOV;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_09635172000106_v167.pdf
"Nordea Global Stars Advisory FIA... 
ESG";Internacional;500;0.80;"D+1

(Dias Úteis)";"D+5

(Dias Úteis)";26;11.93;N/D;N/D;29/12/2020;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_39723190000100_v13.pdf
Pacifico Ações FIC FIA ;Renda Variável;10000;2.93;"D+15

(Dias Corridos)";"D+2

(Dias Úteis)";35;-26.38;-22.18;12.41;30/09/2011;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_14083797000142_v158.pdf
Truxt Macro Advisory FIC FIM ;Multimercado;500;1.90;"D+30

(Dias Corridos)";"D+1

(Dias Úteis)";8;4.65;9.50;16.80;05/06/2017;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_26261488000102_v85.pdf
Sharp Ibovespa Feeder FIC FIA ;Renda Variável;20000;3.45;"D+1

(Dias Úteis)";"D+2

(Dias Úteis)";36;-18.80;-13.57;12.06;23/07/2007;IBOV;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_08912569000135_v144.pdf
XP Referenciado FI Referenciado... ;Renda Fixa Pós-Fixado;500;0.30;"D+0

(Dias Úteis)";"D+0

(Dias Úteis)";6;5.27;7.60;13.68;19/09/2011;CDI;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_10843445000197_v197.pdf
Selection Ações Globais Dólar FI... ;Internacional;100;1.00;"D+15

(Dias Corridos)";"D+5

(Dias Úteis)";26;N/D;N/D;N/D;08/10/2021;-;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Regulamento/Regulamento_42776552000136.pdf
Sparta Max Advisory FIC FIRF CP... ;Renda Fixa Pós-Fixado;500;0.35;"D+30

(Dias Corridos)";"D+2

(Dias Úteis)";6;8.06;11.72;N/D;30/04/2019;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_32757330000112_v86.pdf
Dahlia Global Allocation FIC FIM ;Internacional;1000;1.35;"D+30

(Dias Corridos)";"D+2

(Dias Úteis)";26;1.23;34.15;N/D;13/12/2019;CDI;15.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_35432385000140_v44.pdf
Absolute Hedge FIC FIM ;Multimercado;5000;1.90;"D+4

(Dias Corridos)";"D+1

(Dias Úteis)";8;5.15;8.04;15.02;30/09/2013;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_18860059000115_v138.pdf
"SulAmérica Crédito ESG FIRF CP L... 
ESG";Renda Fixa Pós-Fixado;1000;0.60;"D+45

(Dias Corridos)";"D+1

(Dias Úteis)";6;7.45;N/D;N/D;07/12/2020;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_33701828000126_v31.pdf
BNP Paribas Inflação FI RF ;Renda Fixa Pré-Fixado/Inflação;1000;0.50;"D+2

(Dias Úteis)";"D+1

(Dias Úteis)";10;-3.23;2.15;23.43;07/10/2002;IMA_B;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_05104498000156_v165.pdf
Journey Capital Endurance Debênt... ;Renda Fixa Pós-Fixado;500;1.00;"D+29

(Dias Corridos)";"D+1

(Dias Úteis)";8;5.56;10.40;12.38;29/11/2018;CDI;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_31120420000135_v88.pdf
AZ Quest Termo FIRF ;Renda Fixa Pós-Fixado;500;0.40;"D+6

(Dias Corridos)";"D+1

(Dias Úteis)";6;4.81;8.08;14.98;03/08/2015;CDI;10.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_22681798000117_v46.pdf
"Aviva Investors Global Credit ES... 
ESG";Internacional;500;0.70;"D+1

(Dias Úteis)";"D+5

(Dias Úteis)";25;N/D;N/D;N/D;09/08/2021;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Regulamento/Regulamento_37980028000142.pdf
Trend Bolsas Emergentes FIM ;Internacional;100;0.50;"D+5

(Dias Corridos)";"D+1

(Dias Úteis)";34;N/D;N/D;N/D;15/06/2021;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_40212899000120_v19.pdf
Sparta Top Advisory FIC FIRF CP... ;Renda Fixa Pós-Fixado;500;0.30;"D+30

(Dias Corridos)";"D+2

(Dias Úteis)";6;7.50;9.26;N/D;24/04/2019;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_32846811000102_v83.pdf
